name,company,location,type,job category
Sales Specialist - B2B,Confidential,"Alexandria, Egypt","Full Time, Hybrid",Sales Specialist - B2B | Experienced |  Business Development |  Sales/Retail |  Sales |  Sales Field |  Reporting |  Analysis |  Sales Target
Project Senior Instrumentation & Control Engineer,SaintGobain,"Ain Sokhna, Suez, Egypt","Freelance / Project, On-site",Project Senior Instrumentation & Control Engineer | Experienced |  Installation/Maintenance/Repair |  Engineering - Telecom/Technology |  Engineering - Mechanical/Electrical |  Electrical Engineering |  Project |  Project Management |  instrumentation |  Engineering |  Installation |  Design
Local Purchasing Section Head,Goldentex,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Local Purchasing Section Head | Experienced |  Purchasing/Procurement |  Local Procurement |  Procurement |  supply chain management |  Purchasing
Sales Representative,Together FM,"New Cairo, Cairo, Egypt","Full Time, On-site",Sales Representative | Entry Level |  Sales/Retail |  Sales representative |  Sales |  Customer Service |  sales skills |  Experience |  Sales Target
Site Architect Engineer,Emaco for General Contracting and Air Conditioning,"New Cairo, Cairo, Egypt","Full Time, On-site",Site Architect Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Architecture |  AutoCAD |  Revit |  Site |  Microsoft Office |  Engineering |  Communication |  quality |  TO
Coating Manager,Confidential,"Salam City, Cairo, Egypt","Full Time, On-site",Coating Manager | Manager |  Accounting/Finance |  Coating |  Finance |  Accounting
Production Engineer,Multi M Group,"khanka, Qalubia, Egypt","Full Time, On-site",Production Engineer | Entry Level |  Manufacturing/Production |  Mechanical |  Manufacturing |  Mechanical Engineering |  Furniture |  Engineering |  Production |  SAP |  LEAN |  Chemical
Storekeeper,AluNile,"6th of October, Giza, Egypt","Full Time, On-site",Storekeeper | Experienced |  Logistics/Supply Chain |  Purchasing/Procurement |  Purchasing |  Storekeeping |  Stock Controlling |  Stock |  Microsoft Office |  English |  Warehousing |  Warehouse Management System
Senior Motion & Graphic Designer,◌ِ تايكون للتداول في الاوراق الماليه  Tycoon securities,"Heliopolis, Cairo, Egypt","Full Time, On-site",Senior Motion & Graphic Designer | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  adobe |  Adobe Creative Suite |  Animation |  Graphic Design |  Motion |  photoshop |  illustrator
Account Manager,Digitalmate,"Nasr City, Cairo, Egypt","Full Time, On-site",Account Manager | Manager |  Marketing/PR/Advertising |  account manager |  Account |  Customer Service |  Sales |  Manager |  sales skills
Senior Social Media Specialist,◌ِ تايكون للتداول في الاوراق الماليه  Tycoon securities,"Heliopolis, Cairo, Egypt","Full Time, On-site",Senior Social Media Specialist | Experienced |  Accounting/Finance |  Creative/Design/Art |  Marketing/PR/Advertising |  Advertising |  communications |  Content |  Content Creation |  E-Marketing |  Management |  Marketing
Senior Content Creator,◌ِ تايكون للتداول في الاوراق الماليه  Tycoon securities,"Heliopolis, Cairo, Egypt","Full Time, On-site",Senior Content Creator | Experienced |  Business Development |  Creative/Design/Art |  Marketing/PR/Advertising |  Content |  Content Creation |  Content Management |  Digital Marketing |  digital marketing |  Creative |  Marketing
Cost control Supervisor,IGIGroup,"Sheikh Zayed, Giza, Egypt","Full Time, Hybrid",Cost control Supervisor | Experienced |  Engineering - Construction/Civil/Architecture |  Cost Control |  Engineering |  Construction |  PMP |  Architecture |  Civil |  Real Estate
Service Engineer - Alexandria,Digitec,"Alexandria, Egypt","Full Time, On-site",Service Engineer - Alexandria | Experienced |  Engineering - Mechanical/Electrical |  Engineering |  Service
Sales Manager,Confidential,"Alexandria, Egypt","Full Time, Hybrid",Sales Manager | Manager |  Sales/Retail |  Manager |  Sales |  sales skills |  Sales Target |  Sales Manager
Accountant,Erpplus5,"Maadi, Cairo, Egypt","Full Time, On-site",Accountant | Experienced |  Accounting/Finance |  analytical |  ERP |  Finance |  Accounting |  General Ledger |  Tax
English Language Instructor,English LIVE,"Cairo, Egypt","Freelance / Project, Remote",English Language Instructor | Entry Level |  Education/Teaching |  Training/Instructor |  English |  french |  german |  Instructor |  Online Teaching |  Teaching |  Education |  Management
Chemical Engineer,Confidential,"Cairo, Egypt","Freelance / Project, Remote",Chemical Engineer | Entry Level |  R&D/Science |  Engineering - Other |  Chemical engineer |  Chemical |  Chemical Engineering |  Chemistry |  Engineering |  Project Management |  technical
Sales Representative,Eurotec,"Giza, Egypt","Full Time, On-site",Sales Representative | Entry Level |  Sales/Retail |  Sales |  Outdoor Sales |  Applied Arts |  Customer Service |  Education |  English |  Experience |  Arts |  OR
Entry-Level Cost Controller / Production Floor Accountant - Saudi Market Focused,Confidential,"Riyadh, Saudi Arabia","Full Time, Shift Based, On-site",Entry-Level Cost Controller / Production Floor Accountant - Saudi Market Focused | Entry Level |  Accounting/Finance |  Finance |  Financial Analysis |  Market Analysis |  Cost Control |  Costing |  Accounting
Entry-Level Cost Controller / Production Floor Accountant,Confidential,"Cairo, Egypt","Full Time, Shift Based, On-site",Entry-Level Cost Controller / Production Floor Accountant | Entry Level |  Accounting/Finance |  Finance |  Financial Analysis |  Market Analysis |  Cost Control |  Costing |  Accounting
Deputy General Manager,Al Agha,"Dokki, Giza, Egypt","Full Time, On-site",Deputy General Manager | Senior Management |  Business Development |  Operations/Management |  Strategy/Consulting |  MBA |  CMA |  Business Development |  Business Administration |  Financial Management
Production Manager,Gest For Metals,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Production Manager | Manager |  Operations/Management |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Production Engineering |  Product Management |  Production Process |  Product Development |  Production |  Brass Manufacturing |  Production Planning
Digital Marketing Supervisor,Nugget Tours,"Downtown, Cairo, Egypt","Full Time, On-site",Digital Marketing Supervisor | Manager |  Business Development |  Creative/Design/Art |  Marketing/PR/Advertising |  Digital Marketing |  digital marketing |  Marketing |  E-Marketing |  Digital |  media |  Online Marketing
Junioer Application Developer,Xceed Contact Center,"Maadi, Cairo, Egypt","Full Time, On-site",Junioer Application Developer | Entry Level |  Installation/Maintenance/Repair |  IT/Software Development |  Engineering - Telecom/Technology |  computer |  Computer Science |  Engineering |  Software Engineering |  Software |  Software Development |  Information Technology (IT)
HR Specialist,Deutschland Technology Limited,"Obour City, Cairo, Egypt","Full Time, On-site",HR Specialist | Experienced |  Administration |  Human Resources |  HR |  Communication skills |  Communication |  Human Resources (HR) |  Microsoft Office |  Management |  English |  Business Administration
Admin Assistant - ( Fluent English Speakers),London International Patient Services,"Sheraton, Cairo, Egypt","Full Time, On-site",Admin Assistant - ( Fluent English Speakers) | Entry Level |  Administration |  Customer Service/Support |  Operations/Management |  Administration |  Communication |  Communication skills |  Microsoft Office |  English |  Customer |  Office management
receptionist,Confidential,"New Cairo, Cairo, Egypt","Full Time, On-site",receptionist | Experienced |  Hospitality/Hotels/Food Services |  Administration |  Office management
Telesales Agent,Bnaia,"Maadi, Cairo, Egypt","Internship, On-site",Telesales Agent | Entry Level |  Business Development |  Customer Service/Support |  Sales/Retail |  Sales |  sales skills |  Telesales |  CRM |  Customer Service |  negotiation skills |  Negotiation
Senior Front-End Developer,Bnaia,"Maadi, Cairo, Egypt","Full Time, On-site",Senior Front-End Developer | Experienced |  Creative/Design/Art |  IT/Software Development |  Engineering - Telecom/Technology |  API |  Computer Science |  CSS |  CSS3 |  front-end |  Git |  HTML
Motion Graphic Designer,Egypt Best Properties,"New Cairo, Cairo, Egypt","Full Time, On-site",Motion Graphic Designer | Manager |  Creative/Design/Art |  Marketing/PR/Advertising |  Adobe illustrator |  Adobe Photoshop |  Creative |  Design |  Graphic |  Fine Arts |  Graphic Design |  graphics
Housekeeping Manager,International Organization for ETourism Industry IOETI,"Gamaleya, Cairo, Egypt","Full Time, On-site",Housekeeping Manager | Manager |  Administration |  Hospitality/Hotels/Food Services |  Operations/Management |  Hospitality |  Housekeeping |  Operations |  Administration |  Management
Fleet Coordinator,L'azurde for Jewelry,"Obour City, Cairo, Egypt","Full Time, On-site",Fleet Coordinator | Experienced |  Administration |  Administration |  administrative |  Admin |  Administrative tasks |  Transportation |  Operations |  Coordination |  English |  Fleet Management
Financial Manager,El Alfy Group,"Maadi, Cairo, Egypt","Full Time, On-site",Financial Manager | Manager |  Accounting/Finance |  Administration |  Banking |  Accounting |  Finance |  Financial Management |  Financial Analysis |  CFA |  CPA |  Investment Banking
Medical Network Coordinator,Connex Assistance Middle East,"6th of October, Giza, Egypt","Full Time, On-site",Medical Network Coordinator | Experienced |  Administration |  Customer Service/Support |  Medical/Healthcare |  Administration |  Communication |  Communication skills |  English |  Insurance |  Medical |  Microsoft Office
Business Development Associate,InstaShop,"Katameya, Cairo, Egypt","Full Time, Hybrid",Business Development Associate | Entry Level |  Business Development |  Business Development |  Sales |  Account Management |  Partnership Development |  Client Acquisition |  Partnership Management |  sales skills |  Commercial |  Ecommerce
E-commerce Photo Editor (Retoucher),InstaShop,"Katameya, Cairo, Egypt","Full Time, Hybrid",E-commerce Photo Editor (Retoucher) | Entry Level |  Creative/Design/Art |  Adobe Photoshop |  Design |  photoshop |  Photo Retouching |  Ecommerce |  Product Photography |  Photo Editing |  Photo Manipulation |  media
Business Analyst Advisor,Ibn Sina Pharma,"New Cairo, Cairo, Egypt","Full Time, On-site",Business Analyst Advisor | Experienced |  IT/Software Development |  Analyst/Research |  Engineering - Telecom/Technology |  Business Analyst |  ERP System |  Demand Planning |  Software Testing
Tender / Contracts Civil Engineer,TECTRA,"6th of October, Giza, Egypt","Full Time, On-site",Tender / Contracts Civil Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Civil |  Civil Engineering |  Cost Estimation |  Cost |  Construction |  Engineering |  Communication |  Estimation |  tender
Human Resources Operations Officer,Confidential,"Ameria, Alexandria, Egypt","Full Time, On-site",Human Resources Operations Officer | Experienced |  Administration |  Human Resources |  Operations/Management |  HR Operation |  English |  Computer Skills |  Microsoft Office |  Payroll |  Personnel |  Analysis
Structural technical office engineer BIM,TECTRA,"6th of October, Giza, Egypt","Full Time, On-site",Structural technical office engineer BIM | Experienced |  Engineering - Construction/Civil/Architecture |  architectural |  AutoCAD |  Civil |  BIM |  Civil Engineering |  Engineering |  Revit |  Technical Office |  Management
Site & Project Engineer,Sanam Engineering Industries,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Site & Project Engineer | Experienced |  Manufacturing/Production |  Project/Program Management |  AutoCAD |  Drawings |  Engineering |  Mechanical |  Site Engineer |  Technical Drawings |  Site |  Mechanical Engineering
Sales Engineer,Sanam Engineering Industries,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Sales Engineer | Experienced |  Sales/Retail |  Engineering - Mechanical/Electrical |  Communication |  Selling |  Sales Target |  sales skills |  Sales |  Engineering |  technical |  Sales engineer
Architecture technical office engineer-BIM,TECTRA,"6th of October, Giza, Egypt","Full Time, On-site",Architecture technical office engineer-BIM | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  AutoCAD |  BIM |  Architecture |  Engineering |  Computer Skills |  English |  Microsoft Office |  MS Office
Sales Trainer (Cairo),OPPO Egypt,"Nasr City, Cairo, Egypt","Full Time, On-site",Sales Trainer (Cairo) | Experienced |  Sales/Retail |  Training/Instructor |  Training |  Instructour |  Sales Training |  Trainer |  Training Plan |  Sales |  Sales Skills |  Training Material
Structural technical office engineer,TECTRA,"6th of October, Giza, Egypt","Full Time, On-site",Structural technical office engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  AutoCAD |  BIM |  Construction |  Engineering |  Technical Office
iOS Developer,Madar Soft,"Fleming, Alexandria, Egypt","Full Time, Remote",iOS Developer | Experienced |  IT/Software Development |  Computer Science |  Core Data |  Core Animation |  APIs |  Git |  Information Technology (IT) |  RESTful |  Objective-C |  iOS
Architecture Technical Office Engineer,Solik Real Estate Investment,"Alexandria, Egypt","Full Time, On-site",Architecture Technical Office Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Alexandria |  Architecture |  Engineering |  technical |  Technical Office
Senior UI UX Designer,Madar Soft,"Fleming, Alexandria, Egypt","Full Time, Remote",Senior UI UX Designer | Experienced |  Creative/Design/Art |  Design |  Figma |  Information Technology (IT) |  Sketch |  UI |  UI Design |  ux design |  Xd |  UX
Procurement Buyer,GB Corp,"Abu Rawash, Giza, Egypt","Full Time, On-site",Procurement Buyer | Experienced |  Administration |  Logistics/Supply Chain |  Purchasing/Procurement |  Supply |  Engineering |  Logistics |  English |  Computer Skills |  Manufacturing |  Purchasing
Interior & Exterior Designer,Lines for construction and real sate,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Interior & Exterior Designer | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Architect |  AutoCAD |  Design Architect |  Interior Design |  photoshop |  3d max
Administrative Assistant,Leverage,"Maadi, Cairo, Egypt","Full Time, Hybrid",Administrative Assistant | Entry Level |  Administration |  Administration |  Communication
Senior Mechanical Quality Control Engineer,Rowad Modern Engineering,"Cairo, Egypt","Full Time, On-site",Senior Mechanical Quality Control Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Quality |  Engineering - Mechanical/Electrical |  Engineering |  Quality Control |  Construction |  Mechanical Engineering
Mechanical Design Engineer HVAC,Acacia for engineering services,"New Cairo, Cairo, Egypt","Full Time, On-site",Mechanical Design Engineer HVAC | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  Engineering - Mechanical/Electrical |  HVAC |  Mechanical |  Mechanical Engineering |  Engineering |  Design
Direct Sales (Open Day),Tasaheel Finance,"Cairo, Egypt","Full Time, On-site",Direct Sales (Open Day) | Entry Level |  Sales/Retail |  Direct Sales |  sales skills |  Sales representative
Architecture Technical Office Engineer.,TECTRA,"6th of October, Giza, Egypt","Full Time, On-site",Architecture Technical Office Engineer. | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Architecture |  AutoCAD |  engineer |  Engineering |  Microsoft Office |  technical |  Management |  Networking
Steel Structural Engineer,ATLAS Building Construction,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Steel Structural Engineer | Entry Level |  Engineering - Construction/Civil/Architecture |  Metal |  Steel |  Engineering |  Civil Engineering |  AutoCAD |  2D |  Manufacturing |  structures
Planning Section Head,Royal Herbs,"Haram, Giza, Egypt","Full Time, On-site",Planning Section Head | Experienced |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Engineering |  Planning |  Supply Chain |  Management |  Planning Engineering |  Forecasting |  Production Engineering |  Production Planning
HSE Specialist,Pharco Corporation,"Ameria, Alexandria, Egypt","Full Time, On-site",HSE Specialist | Entry Level |  Engineering - Construction/Civil/Architecture |  Engineering - Other |  HSE |  HSE Specialist |  OSHA |  Pharmaceutical
Tax Accountant Supervisor,Matana Group,"Cairo, Egypt","Full Time, On-site",Tax Accountant Supervisor | Experienced |  Accounting/Finance |  Hospitality/Hotels/Food Services |  Accounting |  analytical |  Financial Analysis |  Finance |  Tax Accounting |  Tax Laws |  Tax |  CMA
Accountant,Samena Group,"Heliopolis, Cairo, Egypt","Full Time, On-site",Accountant | Entry Level |  Accounting/Finance |  Accounting |  Finance |  Retail |  Odoo |  excel |  analytical |  Financial Analysis |  Management |  Financial Management
Senior Technical Office Architecture,United Engineering For Construction (UECC),"Giza, Egypt","Full Time, On-site",Senior Technical Office Architecture | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Engineering |  Architecture |  Technical Office
Foreign purchasing supervisor,El Teriak Industrial Group,"Zamalek, Cairo, Egypt","Full Time, On-site",Foreign purchasing supervisor | Experienced |  Logistics/Supply Chain |  Purchasing/Procurement |  Foreign Purchasing |  Logistics |  foreign |  ERP |  English |  Management |  Manufacturing |  Negotiation
Spanish Speakers,Xceed Contact Center,"6th of October, Giza, Egypt","Full Time, On-site",Spanish Speakers | Entry Level |  Customer Service/Support |  Spanish |  Customer Care |  Customer Service
Training And Development Specialist,Outsourcing Skill,"Maadi, Cairo, Egypt","Full Time, On-site",Training And Development Specialist | Entry Level |  Training/Instructor |  Training |  Corporate Training |  Soft Skills |  Call Center |  L&D |  Learning and Development |  Telesales
Workshop Manager,Nour Eldin Elsherif for Trading vehicles,"Smouha, Alexandria, Egypt","Full Time, On-site",Workshop Manager | Experienced |  Customer Service/Support |  Installation/Maintenance/Repair |  Engineering - Mechanical/Electrical |  Automotive |  Customer Care |  Communication |  Customer Support |  Service |  English |  Mechanical
Accountant,Accounting hub,"Giza, Egypt","Full Time, On-site",Accountant | Experienced |  Accounting/Finance |  Accounting |  Audit |  Financial Analysis |  Finance |  Financial Management |  MS Excel |  Odoo
Mechanical Production Engineer,Confidential,"Badr City, Cairo, Egypt","Full Time, On-site",Mechanical Production Engineer | Experienced |  Manufacturing/Production |  Engineering - Mechanical/Electrical |  Engineering |  Mechanical Engineering |  Production |  Manufacturing |  English
Customer Service Advisor,Raya Customer Experience,"6th of October, Giza, Egypt","Full Time, On-site",Customer Service Advisor | Entry Level |  Banking |  Customer Service/Support |  Sales/Retail |  Banking |  Customer Service |  Customer Support |  Customer Care
Office Manager,Carina Wear,"New Cairo, Cairo, Egypt","Full Time, On-site",Office Manager | Experienced |  Administration |  Operations/Management |  Administration |  Hospitality |  Microsoft Office |  Office management |  Planning |  Reception |  receptionist |  Office Administration
Stability Specialist ( Chemist ),Pharco Corporation,"Ameria, Alexandria, Egypt","Full Time, On-site",Stability Specialist ( Chemist ) | Entry Level |  R&D/Science |  Analyst/Research |  Science |  Research |  Pharmacy
Accountant,Arab Mechanical Engineers,"Nasr City, Cairo, Egypt","Full Time, On-site",Accountant | Entry Level |  Accounting/Finance |  Administration |  Banking |  Accounting |  Accounts |  Bookkeeping |  MS Office |  Commerce |  English |  excel
IT Section Head,Confidential,"Obour City, Cairo, Egypt","Full Time, On-site",IT Section Head | Entry Level |  IT/Software Development |  Engineering - Telecom/Technology |  Computer Science |  Engineering |  computer |  IT |  Information technology
Maintenance Manager,OROUBA For Food Industry (Basma),"Obour City, Cairo, Egypt","Full Time, On-site",Maintenance Manager | Manager |  Installation/Maintenance/Repair |  Operations/Management |  Engineering - Mechanical/Electrical |  Administration |  Business Administration |  FMCG |  Facility Management |  Maintenance |  Planning |  Communication
Senior Cloud Engineer,LINK Development,"Maadi, Cairo, Egypt","Full Time, Hybrid",Senior Cloud Engineer | Experienced |  IT/Software Development |  Engineering - Telecom/Technology |  Azure |  Cloud |  AWS |  AWS Cloud |  Microsoft Azure |  Azure DevOps Server
Warehousing Supervisor,GB Corp,"Alsadat City, Monufya, Egypt","Full Time, On-site",Warehousing Supervisor | Experienced |  Logistics/Supply Chain |  Manufacturing/Production |  Microsoft Office |  Logistics |  Supply Chain |  Warehousing |  inventory |  Inventory Management |  Manufacturing |  Management
IT Help Desk - (First Line Support),Confidential,"Obour City, Cairo, Egypt","Full Time, On-site",IT Help Desk - (First Line Support) | Experienced |  Installation/Maintenance/Repair |  IT/Software Development |  Engineering - Telecom/Technology |  Computer Science |  Troubleshooting |  Microsoft Office |  WAN |  CompTIA A+ |  Repair |  Microsoft
Warehouse Keeper (Construction background ),Qawafil For Real Estate Investment,"New Cairo, Cairo, Egypt","Full Time, On-site",Warehouse Keeper (Construction background ) | Experienced |  Accounting/Finance |  Logistics/Supply Chain |  Purchasing/Procurement |  Accounting |  Logistics |  MS Office |  Supply Chain |  Warehouse |  Warehousing |  Management
Freight Sales Representative,GB Corp,"Abu Rawash, Giza, Egypt","Full Time, On-site",Freight Sales Representative | Experienced |  Logistics/Supply Chain |  Sales/Retail |  Sales Target |  sales skills |  business |  CRM |  Communication |  Customer Service |  Logistics |  Sales
Investor Relations Manager,Egytrans,"New Cairo, Cairo, Egypt","Full Time, Hybrid",Investor Relations Manager | Manager |  Administration |  Investor Relations (IR) |  Finance
Senior Lawyer,Confidential,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",Senior Lawyer | Experienced |  Legal |  Law |  Legal |  English |  Corporate |  Corporate Law
Senior Tendering and Procurement Engineer,Capital hills development,"Cairo, Egypt","Full Time, On-site",Senior Tendering and Procurement Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Purchasing/Procurement |  Civil Engineering |  Civil |  Engineering |  Procurement |  Tendering
Senior Treasury Accountant,LYCHEE EGYPT,"New Cairo, Cairo, Egypt","Full Time, On-site",Senior Treasury Accountant | Experienced |  Accounting/Finance |  Cash Management |  Financial Management |  Financial Analysis |  Treasury |  Certified Treasury Professional |  Treasury Accounting |  Treasury Management
Process Quality Internship - Alexandria,Prometeon Tyres Group – Egypt  (ExPirelli Tyres Egypt),"Alexandria, Egypt","Internship, On-site",Process Quality Internship - Alexandria | Entry Level |  Quality |  Chemistry |  quality |  Science
Technical Office Engineer,RAQMU for Building and Construction,"Sheraton, Cairo, Egypt","Full Time, On-site",Technical Office Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  AutoCAD |  Shop Drawings |  Revit
Digital Marketing Executive,GULF ISLANDS GENERAL TRADING LLC,"Azarita, Alexandria, Egypt","Full Time, Freelance / Project, Remote",Digital Marketing Executive | Experienced |  Marketing/PR/Advertising |  Media/Journalism/Publishing |  Content |  Content Creation |  E-Marketing |  digital marketing |  Social Media |  SEO
Sales Engineer,Eprox,"Cairo, Egypt","Full Time, On-site",Sales Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering |  Sales |  sales skills
Security Inspector,GB Corp,"Sharm Alsheikh, South Sinai, Egypt","Full Time, On-site","Security Inspector | Experienced |  Administration |  Security |  Health, Safety and Environment"
Collection section head,Confidential,"Heliopolis, Cairo, Egypt","Full Time, On-site",Collection section head | Experienced |  Accounting/Finance |  Banking |  Accounting |  Administration |  Business Administration |  Finance |  Cash |  Banking |  Treasury |  Collection
Financial Analyst,Happy Vision,"Mohandessin, Giza, Egypt","Full Time, On-site",Financial Analyst | Experienced |  Accounting/Finance |  Analyst/Research |  Sales/Retail |  Accounting |  analytical |  Analysis |  Commerce |  Budgeting |  ERP |  Finance
Direct Sales Agent,beIN Media Group,"Cairo, Egypt","Full Time, On-site",Direct Sales Agent | Entry Level |  Business Development |  Customer Service/Support |  Sales/Retail |  Sales |  Retail |  Sales Skills |  Sales Target |  Arabic |  English |  Customer Service
Government Affairs Manager,GB Corp,"Abu Rawash, Giza, Egypt","Full Time, On-site",Government Affairs Manager | Experienced |  Accounting/Finance |  Administration |  Business Development |  Engineering |  Industrial |  Industry |  Manufacturing |  Training |  Production |  English
Sales Marketing Executive/Representive,Naturub Accessories Egypt Pvt Ltd,"Ismailia, Ismailia, Egypt","Full Time, Remote",Sales Marketing Executive/Representive | Experienced |  Marketing/PR/Advertising |  Sales/Retail |  Marketing |  Sales Target |  sales skills |  Market Research |  Sales
Logistic Executive,Naturub Accessories Egypt Pvt Ltd,"Ismailia, Ismailia, Egypt","Full Time, On-site",Logistic Executive | Experienced |  Logistics/Supply Chain |  Logistics |  Supply Chain
Senior Technical Office engineer (Busduct),ALTAWAKOL For Electrical Industries NTT,"Qalubia, Egypt","Full Time, On-site",Senior Technical Office engineer (Busduct) | Experienced |  Engineering - Mechanical/Electrical |  Electrical |  Engineering |  Electrical power |  Technical Office |  Revit
Digital Marketing Manager,Egypt Best Properties,"New Cairo, Cairo, Egypt","Full Time, On-site",Digital Marketing Manager | Manager |  Marketing/PR/Advertising |  Sales/Retail |  Media/Journalism/Publishing |  Advertising |  Digital |  Digital Marketing |  digital marketing |  E-Marketing |  Google Adwords |  Google Analytics
General Accountant,Egypt Best Properties,"New Cairo, Cairo, Egypt","Full Time, On-site",General Accountant | Experienced |  Accounting/Finance |  Banking |  Accounting |  Accounting Software |  Finance |  Financial Analysis |  Financial Management |  General Ledger |  Generally Accepted Accounting Principles |  MS Excel
Sales Executive,flyadeal Egypt,"Giza, Giza, Egypt","Full Time, On-site",Sales Executive | Entry Level |  Customer Service/Support |  Sales/Retail |  Tourism/Travel |  Sales |  Sales Executive |  Sales Target |  sales skills |  Customer Service |  CRM
Workshop Engineer (Maintenance) - Automotive,Confidential,"New Cairo, Cairo, Egypt","Full Time, On-site",Workshop Engineer (Maintenance) - Automotive | Experienced |  Engineering - Mechanical/Electrical |  Engineering |  Maintenance |  Mechanical Engineering |  Workshop |  Automotive |  Mechanical
Sales Account Manager,Confidential,"Heliopolis, Cairo, Egypt","Full Time, On-site",Sales Account Manager | Entry Level |  Business Development |  Customer Service/Support |  Sales/Retail |  account manager |  CRM |  Sales |  sales skills |  Communication
Senior Contract Engineer,Deutschland Technology Limited,"Obour City, Cairo, Egypt","Full Time, On-site",Senior Contract Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Construction |  Contracting |  Engineering |  Management |  Mechanical |  English |  Arabic |  Contract Engineering
Automotive Fleet Sales Manager,Confidential,"Nasr City, Cairo, Egypt","Full Time, On-site",Automotive Fleet Sales Manager | Manager |  Sales/Retail |  Fleet |  Automotive |  Sales |  sales skills |  Sales Target
Sales Representative Consultant (WARDROBES AND KITCHENS),Modoro,"6th of October, Giza, Egypt","Full Time, On-site",Sales Representative Consultant (WARDROBES AND KITCHENS) | Experienced |  Sales/Retail |  Sales |  Furniture
Accountant,El Ghanam,"Darrasa, Cairo, Egypt","Full Time, On-site",Accountant | Entry Level |  Accounting/Finance |  accountant |  Accounting |  Accounting principles |  Financial Analysis |  Financial Management |  MS Excel |  Software
Procurement Analyst,Pharco Corporation,"Ameria, Alexandria, Egypt","Full Time, On-site",Procurement Analyst | Entry Level |  Purchasing/Procurement |  Analysis |  Procurement |  Purchasing |  Communication skills |  Supply Chain |  Logistics
HR Specialist,MY WAY,"Obour City, Cairo, Egypt","Full Time, On-site",HR Specialist | Entry Level |  Human Resources |  HR |  HR Specialist |  Human Resources (HR)
Senior Account Manager,Deli Techno,"Glim, Alexandria, Egypt","Full Time, On-site",Senior Account Manager | Experienced |  Creative/Design/Art |  Customer Service/Support |  Marketing/PR/Advertising |  Advertising |  Account Management |  Client Relationships |  business |  communications |  Management |  sales skills
Freight Specialist,GB Corp,"Abu Rawash, Giza, Egypt","Full Time, On-site",Freight Specialist | Experienced |  Logistics/Supply Chain |  Operations/Management |  Sales/Retail |  Commerce |  Freight Forwarding |  English |  business |  Microsoft Office |  Supply Chain |  Shipping
HR Specialist,CandyStore,"Nasr City, Cairo, Egypt","Full Time, On-site",HR Specialist | Experienced |  Administration |  Human Resources |  Communication |  HR |  HR Specialist |  Recruitment |  Personnel |  Payroll |  Labor Legislation |  Human Resources
Accounting Supervisor,Nour Eldin Elsherif for Trading vehicles,"Ameria, Alexandria, Egypt","Full Time, On-site",Accounting Supervisor | Experienced |  Accounting/Finance |  Banking |  Accounting |  CMA |  CPA |  Finance |  Financial Analysis |  Financial Management
Inventory Planning Specialist,GB Corp,"Abu Rawash, Giza, Egypt","Full Time, On-site",Inventory Planning Specialist | Experienced |  Logistics/Supply Chain |  Automotive |  ERP |  English |  Training |  inventory |  Logistics |  Microsoft Office |  Supply |  Supply Chain
Marketing Manager ( Home Appliance ),Prifix,"Cairo, Egypt","Full Time, On-site",Marketing Manager ( Home Appliance ) | Manager |  Marketing/PR/Advertising |  Sales/Retail |  Sales |  Marketing |  Market Research
General Accountant,Biotech pharma,"Agouza, Giza, Egypt","Full Time, On-site",General Accountant | Experienced |  Accounting/Finance |  accountant |  Finance
IT technical support,Etisal EG,"New Cairo, Cairo, Egypt","Full Time, On-site",IT technical support | Entry Level |  Installation/Maintenance/Repair |  IT/Software Development |  IT |  IT Specialist |  Technical Support |  ERP
Customer Support Representative,Confidential,"Mohandessin, Giza, Egypt","Full Time, On-site",Customer Support Representative | Entry Level |  Customer Service/Support |  Operations/Management |  Customer Care |  Customer services |  Customer Support |  Customer Service |  Customer |  CS |  Software |  Support
